Especie,Breed,Age (Years),Weight (kg),Gender
Cachorro,Airedale Terrier,13,27.5,Male
Cachorro,Jack Russell Terrier,10,6.6,Female
Cachorro,Dogo Argentino,2,40.6,Female
Cachorro,Labrador Retriever,9,33.8,Male
Cachorro,French Bulldog,12,10.1,Male
Cachorro,French Bulldog,9,11.2,Female
Cachorro,Bull Terrier,7,29.9,Female
Cachorro,Boxer,1,28.6,Female
Cachorro,Cocker Spaniel,13,11.4,Male
Cachorro,Shetland Sheepdog,1,7.8,Female
Cachorro,Whippet,3,12.9,Female
Cachorro,Weimaraner,4,39.3,Male
Cachorro,Havanese,13,4.3,Female
Cachorro,Beagle,3,11.7,Female
Cachorro,Maltese,2,3.6,Male
Cachorro,Maltese,12,3.1,Female
Cachorro,Siberian Husky,10,23.8,Male
Cachorro,German Shepherd,6,22.7,Female
Cachorro,Bloodhound,7,43.5,Female
Cachorro,Bull Terrier,2,34.2,Male
Cachorro,Havanese,13,5.5,Male
Cachorro,Irish Setter,11,25.8,Female
Cachorro,Maltese,12,4.0,Male
Cachorro,Doberman Pinscher,13,37.4,Female
Cachorro,Vizsla,9,25.1,Female
Cachorro,Bernese Mountain Dog,12,41.5,Male
Cachorro,Shih Tzu,13,5.0,Female
Cachorro,Yorkshire Terrier,8,2.5,Male
Cachorro,Boxer,12,28.2,Male
Cachorro,Boston Terrier,8,9.8,Male
Cachorro,Chinese Shar-Pei,4,23.8,Female
Cachorro,Pug,5,7.3,Female
Cachorro,Chinese Shar-Pei,10,20.5,Female
Cachorro,Poodle,7,22.9,Female
Cachorro,Australian Shepherd,10,20.9,Female
Cachorro,Jack Russell Terrier,7,6.2,Female
Cachorro,Labrador Retriever,5,25.9,Female
Cachorro,Miniature Schnauzer,12,6.2,Female
Cachorro,Saint Bernard,2,60.2,Female
Cachorro,Maltese,3,3.8,Male
Cachorro,Rottweiler,1,50.9,Male
Cachorro,Chinese Shar-Pei,1,24.5,Female
Cachorro,Pekingese,11,4.6,Female
Cachorro,Cocker Spaniel,8,10.1,Female
Cachorro,Cocker Spaniel,7,13.9,Male
Cachorro,Chihuahua,3,2.3,Female
Cachorro,Bull Terrier,11,31.6,Male
Cachorro,Shiba Inu,12,8.6,Female
Cachorro,German Shepherd,10,36.3,Male
Cachorro,Boxer,11,28.1,Male
Cachorro,Shiba Inu,13,8.4,Female
Cachorro,Schnauzer,14,14.0,Female
Cachorro,Dachshund,9,11.1,Female
Cachorro,Papillon,9,4.1,Male
Cachorro,Havanese,3,5.4,Male
Cachorro,Saint Bernard,2,72.8,Female
Cachorro,Pembroke Welsh Corgi,11,12.6,Male
Cachorro,Whippet,13,16.8,Male
Cachorro,Great Dane,3,49.1,Female
Cachorro,Akita,12,34.0,Female
Cachorro,Labrador Retriever,8,29.8,Female
Cachorro,Labrador Retriever,7,28.4,Female
Cachorro,Weimaraner,7,35.8,Male
Cachorro,Dogo Argentino,3,43.5,Male
Cachorro,Poodle,12,25.0,Female
Cachorro,Bloodhound,2,45.9,Male
Cachorro,Basenji,6,9.7,Female
Cachorro,Papillon,7,2.9,Female
Cachorro,Doberman Pinscher,10,27.4,Female
Cachorro,Australian Shepherd,13,26.1,Male
Cachorro,Bulldog,10,21.4,Male
Cachorro,Belgian Malinois,4,22.8,Female
Cachorro,West Highland White Terrier,10,9.6,Male
Cachorro,Schnauzer,12,14.9,Female
Cachorro,German Shepherd,5,29.0,Male
Cachorro,German Shepherd,12,25.3,Female
Cachorro,Bull Terrier,3,25.1,Female
Cachorro,Belgian Malinois,2,32.0,Male
Cachorro,Saint Bernard,7,67.7,Female
Cachorro,Bloodhound,1,48.0,Male
Cachorro,Pembroke Welsh Corgi,3,13.1,Male
Cachorro,Irish Setter,14,26.1,Female
Cachorro,Miniature Schnauzer,7,8.5,Male
Cachorro,Bichon Frise,4,6.4,Male
Cachorro,Labrador Retriever,8,25.2,Female
Cachorro,Chihuahua,6,1.6,Female
Cachorro,Saint Bernard,14,71.4,Female
Cachorro,Dogo Argentino,14,41.5,Male
Cachorro,Siberian Husky,11,17.2,Female
Cachorro,West Highland White Terrier,11,7.3,Female
Cachorro,Boston Terrier,3,7.7,Male
Cachorro,Pembroke Welsh Corgi,7,13.2,Male
Cachorro,Bulldog,7,20.0,Female
Cachorro,Beagle,11,12.0,Male
Cachorro,Bulldog,12,19.4,Female
Cachorro,Jack Russell Terrier,2,6.8,Female
Cachorro,Papillon,10,3.0,Female
Cachorro,French Bulldog,11,10.0,Male
Cachorro,Siberian Husky,1,20.7,Male
Cachorro,Weimaraner,2,34.4,Female
Cachorro,Papillon,4,3.7,Female
Cachorro,Basenji,4,9.9,Female
Cachorro,Chihuahua,2,1.8,Female
Cachorro,Australian Shepherd,12,26.1,Female
Cachorro,Boston Terrier,4,10.1,Male
Cachorro,Saint Bernard,5,71.3,Female
Cachorro,Havanese,4,3.9,Female
Cachorro,Australian Shepherd,10,24.4,Male
Cachorro,Shih Tzu,10,5.3,Male
Cachorro,Dogo Argentino,14,44.4,Male
Cachorro,Shetland Sheepdog,6,9.9,Male
Cachorro,Lhasa Apso,7,6.4,Male
Cachorro,Rottweiler,9,48.7,Male
Cachorro,Poodle,11,24.5,Female
Cachorro,Belgian Malinois,10,26.4,Male
Cachorro,Saint Bernard,12,86.7,Male
Cachorro,Labrador Retriever,6,34.3,Male
Cachorro,Schnauzer,6,16.8,Female
Cachorro,Poodle,9,23.4,Female
Cachorro,Cavalier King Charles Spaniel,5,6.2,Female
